Date,Open,High,Low,Close,Adjusted_close,Volume
11/30/2015,1.49,1.56,1.47,1.5,1.5,643135
12/7/2015,1.5,1.58,1.35,1.35,1.35,713482
12/14/2015,1.35,1.6,1.11,1.48,1.48,1410112
12/21/2015,1.5,1.56,1.3,1.465,1.465,810887
12/28/2015,1.46,1.46,1.29,1.33,1.33,1832147
1/4/2016,1.31,1.46,1.19,1.2,1.2,824601
1/11/2016,1.2,1.22,1.05,1.09,1.09,678702
1/19/2016,1.1,1.15,0.8516,1.09,1.09,1220472
1/25/2016,1.05,1.33,1,1.32,1.32,1122117
2/1/2016,1.33,1.44,1.147,1.25,1.25,1248278
2/8/2016,1.24,1.43,1.11,1.21,1.21,899781
2/16/2016,1.2,1.22,1.05,1.14,1.14,770014
2/22/2016,1.14,1.15,1,1.12,1.12,687211
